expression_bin	bin_median	UMEND	parent_id	pct_accurately_measured	n_genes_in_bin	expression_bin_label
(0,1]	0	897386.4	TH_Eval_018	0.0031208624929071308	10574	0-1 (n=10574)
(0,1]	0	964752.75	TH_Eval_016	0.00550684732990363	13801	0-1 (n=13801)
(0,1]	0	966290.05	TH_Eval_015	0.00578305720537668	12796	0-1 (n=12796)
(0,1]	0	968801.745	TH_Eval_019	0.006246144355336212	12968	0-1 (n=12968)
(0,1]	0	969044.31	TH_Eval_014	0.005602852361202067	13743	0-1 (n=13743)
(0,1]	4	3850360.41	TH_Eval_016	0.023621476704586624	13801	0-1 (n=13801)
(0,1]	4	3989494.615	TH_Eval_019	0.019895126465144974	12968	0-1 (n=12968)
(0,1]	4	4006874.005	TH_Eval_015	0.023522975929978117	12796	0-1 (n=12796)
(0,1]	4	4022359.965	TH_Eval_014	0.023575638506876228	13743	0-1 (n=13743)
(0,1]	4	4038616.96	TH_Eval_018	0.019954605636466807	10574	0-1 (n=10574)
(0,1]	8	7754740.725	TH_Eval_016	0.04108397942178103	13801	0-1 (n=13801)
(0,1]	8	7973217.99	TH_Eval_014	0.04518664047151277	13743	0-1 (n=13743)
(0,1]	8	8017311.505	TH_Eval_015	0.040090653329165366	12796	0-1 (n=12796)
(0,1]	8	8032662	TH_Eval_019	0.040715607649599014	12968	0-1 (n=12968)
(0,1]	8	8047283.115	TH_Eval_018	0.037544921505579726	10574	0-1 (n=10574)
(0,1]	12	11590923.45	TH_Eval_016	0.057821896963988116	13801	0-1 (n=13801)
(0,1]	12	11889324.99	TH_Eval_014	0.06417812704649639	13743	0-1 (n=13743)
(0,1]	12	12000172.32	TH_Eval_019	0.0635410240592227	12968	0-1 (n=12968)
(0,1]	12	12007425.805	TH_Eval_018	0.05286551919803291	10574	0-1 (n=10574)
(0,1]	12	12047860.87	TH_Eval_015	0.060331353547983746	12796	0-1 (n=12796)
(0,1]	16	15450346	TH_Eval_016	0.06521266574885878	13801	0-1 (n=13801)
(0,1]	16	15906303	TH_Eval_015	0.07775867458580807	12796	0-1 (n=12796)
(0,1]	16	15987080.665	TH_Eval_018	0.06430868167202572	10574	0-1 (n=10574)
(0,1]	16	15988293	TH_Eval_019	0.06863047501542258	12968	0-1 (n=12968)
(0,1]	16	15997868.72	TH_Eval_014	0.07560212471803827	13743	0-1 (n=13743)
(0,1]	20	19318564.015	TH_Eval_016	0.07912470110861532	13801	0-1 (n=13801)
(0,1]	20	19958188.32	TH_Eval_015	0.09088777743044701	12796	0-1 (n=12796)
(0,1]	20	19974189.76	TH_Eval_014	0.09350214654733319	13743	0-1 (n=13743)
(0,1]	20	19977471.635	TH_Eval_018	0.09296387365235484	10574	0-1 (n=10574)
(0,1]	20	19990852.56	TH_Eval_019	0.08050586057988895	12968	0-1 (n=12968)
