expression_bin	bin_median	UMEND	parent_id	pct_accurately_measured	n_genes_in_bin	expression_bin_label
(0,1]	0	897386.4	TH_Eval_018	0.00501229430679024	10574	0-1 (n=10574)
(0,1]	0	964752.75	TH_Eval_016	0.007825519889863053	13801	0-1 (n=13801)
(0,1]	0	966290.05	TH_Eval_015	0.008596436386370742	12796	0-1 (n=12796)
(0,1]	0	968801.745	TH_Eval_019	0.007942628007402837	12968	0-1 (n=12968)
(0,1]	0	969044.31	TH_Eval_014	0.008440660699992724	13743	0-1 (n=13743)
(0,1]	4	3850360.41	TH_Eval_016	0.03151945511194841	13801	0-1 (n=13801)
(0,1]	4	3989494.615	TH_Eval_019	0.0283775447254781	12968	0-1 (n=12968)
(0,1]	4	4006874.005	TH_Eval_015	0.032588308846514535	12796	0-1 (n=12796)
(0,1]	4	4022359.965	TH_Eval_014	0.032307356472385945	13743	0-1 (n=13743)
(0,1]	4	4038616.96	TH_Eval_018	0.027709476073387553	10574	0-1 (n=10574)
(0,1]	8	7754740.725	TH_Eval_016	0.054416346641547715	13801	0-1 (n=13801)
(0,1]	8	7973217.99	TH_Eval_014	0.0640325984137379	13743	0-1 (n=13743)
(0,1]	8	8017311.505	TH_Eval_015	0.053610503282275714	12796	0-1 (n=12796)
(0,1]	8	8032662	TH_Eval_019	0.05783466995681678	12968	0-1 (n=12968)
(0,1]	8	8047283.115	TH_Eval_018	0.05031208624929071	10574	0-1 (n=10574)
(0,1]	12	11590923.45	TH_Eval_016	0.07622636040866604	13801	0-1 (n=13801)
(0,1]	12	11889324.99	TH_Eval_014	0.08447937131630648	13743	0-1 (n=13743)
(0,1]	12	12000172.32	TH_Eval_019	0.08235657001850709	12968	0-1 (n=12968)
(0,1]	12	12007425.805	TH_Eval_018	0.0692264043881218	10574	0-1 (n=10574)
(0,1]	12	12047860.87	TH_Eval_015	0.0783838699593623	12796	0-1 (n=12796)
(0,1]	16	15450346	TH_Eval_016	0.0842692558510253	13801	0-1 (n=13801)
(0,1]	16	15906303	TH_Eval_015	0.09682713347921225	12796	0-1 (n=12796)
(0,1]	16	15987080.665	TH_Eval_018	0.09107244183847173	10574	0-1 (n=10574)
(0,1]	16	15988293	TH_Eval_019	0.08814003701418877	12968	0-1 (n=12968)
(0,1]	16	15997868.72	TH_Eval_014	0.09859564869388052	13743	0-1 (n=13743)
(0,1]	20	19318564.015	TH_Eval_016	0.12129555829287733	13801	0-1 (n=13801)
(0,1]	20	19958188.32	TH_Eval_015	0.12621131603626135	12796	0-1 (n=12796)
(0,1]	20	19974189.76	TH_Eval_014	0.12915666157316452	13743	0-1 (n=13743)
(0,1]	20	19977471.635	TH_Eval_018	0.11764705882352941	10574	0-1 (n=10574)
(0,1]	20	19990852.56	TH_Eval_019	0.11196792103639729	12968	0-1 (n=12968)
(0,1]	24	23185251.405	TH_Eval_016	0.13245416998768206	13801	0-1 (n=13801)
(0,1]	24	23900691.655	TH_Eval_018	0.1234159258558729	10574	0-1 (n=10574)
(0,1]	24	23974325.24	TH_Eval_014	0.1354143927817798	13743	0-1 (n=13743)
(0,1]	24	23990511.24	TH_Eval_019	0.131631708821715	12968	0-1 (n=12968)
(0,1]	24	23993612.64	TH_Eval_015	0.1423100969052829	12796	0-1 (n=12796)
(0,1]	28	27096721.13	TH_Eval_016	0.20034780088399393	13801	0-1 (n=13801)
(0,1]	28	27976524.66	TH_Eval_014	0.17943680419122462	13743	0-1 (n=13743)
(0,1]	28	27989639.64	TH_Eval_019	0.17072794571252314	12968	0-1 (n=12968)
(0,1]	28	28009172.16	TH_Eval_015	0.20185995623632386	12796	0-1 (n=12796)
(0,1]	28	28144523.23	TH_Eval_018	0.17770001891431814	10574	0-1 (n=10574)
(0,1]	32	30952174.325	TH_Eval_016	0.18476921962176654	13801	0-1 (n=13801)
(0,1]	32	31972725.78	TH_Eval_014	0.17769046059812268	13743	0-1 (n=13743)
(0,1]	32	31990588.2	TH_Eval_019	0.1648673658235657	12968	0-1 (n=12968)
(0,1]	32	31994860.68	TH_Eval_015	0.20060956548921538	12796	0-1 (n=12796)
(0,1]	32	32056015.6	TH_Eval_018	0.1675808587100435	10574	0-1 (n=10574)
(0,1]	36	34734143.3	TH_Eval_016	0.22831678863850446	13801	0-1 (n=13801)
