gene	measurement	pd_up1	pd_up2	pd_up3	pd_up4	outlier_threshold1	outlier_threshold2	outlier_threshold3	outlier_threshold4	accuracy_threshold1	accuracy_threshold2	accuracy_threshold3	accuracy_threshold4	percent_accurate_mean1	percent_accurate_mean2	percent_accurate_mean3	percent_accurate_mean4	percent_accurate_min1	percent_accurate_min2	percent_accurate_min3	percent_accurate_min4	percent_accurate_max1	percent_accurate_max2	percent_accurate_max3	percent_accurate_max4	percent_accurate1_S1	percent_accurate1_S2	percent_accurate1_S3	percent_accurate1_S4	percent_accurate1_S5	percent_accurate2_S1	percent_accurate2_S2	percent_accurate2_S3	percent_accurate2_S4	percent_accurate2_S5	percent_accurate3_S1	percent_accurate3_S2	percent_accurate3_S3	percent_accurate3_S4	percent_accurate3_S5	percent_accurate4_S1	percent_accurate4_S2	percent_accurate4_S3	percent_accurate4_S4	percent_accurate4_S5
AAMP	7.73761916729	TRUE	TRUE	FALSE	FALSE	7.57869845628738	7.71131885051727	NA	7.92496514320374	2.053870933250911	0.3399019285403931	NA	NA	99.91368705684026	90.65327616744308	NA	NA	99.80430528375733	86.99551569506725	NA	NA	100	96.34433962264151	NA	NA	99.88789237668162	100	99.87623762376238	99.80430528375733	100	86.99551569506725	96.34433962264151	94.80198019801979	87.866927592955	87.25761772853186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCF1	7.3889644159	TRUE	TRUE	FALSE	TRUE	6.76590180397034	6.63542461395264	NA	6.71941351890564	8.4323401340101	10.198178791142228	NA	9.061498463216068	100	100	NA	100	100	100	NA	100	100	100	NA	100	100	100	100	100	100	100	100	100	100	100	NA	NA	NA	NA	NA	100	100	100	100	100
ABCF2	6.42122329923	TRUE	FALSE	FALSE	TRUE	6.1809201836586	6.42877733707428	NA	6.35233783721924	3.742326101635747	NA	NA	1.072777861798087	99.7199970382438	NA	NA	95.09693485274717	99.43105756358769	NA	NA	92.904953145917	99.86508364813815	NA	NA	98.1651376146789	99.43105756358769	99.80066445182725	99.86508364813815	99.74619289340102	99.75698663426489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.904953145917	98.00664451827242	98.1651376146789	93.0908065425832	93.31713244228432
AC132217.4	10.4058647572	FALSE	TRUE	FALSE	TRUE	22.1237854361534	7.06800585985184	NA	9.2644122838974	NA	32.07670842578111	NA	10.969318744151552	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	100	100	100	100	100	NA	NA	NA	NA	NA	100	100	100	100	100
ACIN1	8.55378286605	FALSE	TRUE	FALSE	TRUE	9.06489157676697	7.89506947994232	NA	7.97195982933044	NA	7.700842965305045	NA	6.801938345066228	NA	100	NA	99.98043052837573	NA	100	NA	99.90215264187867	NA	100	NA	100	NA	NA	NA	NA	NA	100	100	100	100	100	NA	NA	NA	NA	NA	100	100	100	99.90215264187867	100
ACOT13	6.18626283567	TRUE	TRUE	FALSE	TRUE	5.61808627843857	5.51891356706619	NA	5.72479069232941	9.184487829313092	10.787599659617971	NA	7.459627170700552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACP1	8.55378286605	TRUE	TRUE	FALSE	TRUE	7.78185939788818	7.04498171806335	NA	7.38118648529053	9.024351918325952	17.6389928481244	NA	13.708512352043792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAT1	6.06458110919	TRUE	TRUE	FALSE	TRUE	5.8432708978653	5.75340032577515	NA	5.88030672073364	3.6492250221426854	5.1311175135130105	NA	3.0385344863657355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRA2	5.9724629072	FALSE	TRUE	FALSE	TRUE	9.04943957924843	4.21948349475861	NA	5.76781904697418	NA	29.351030549358708	NA	3.426456780152029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFG3L2	5.98276546258	FALSE	TRUE	FALSE	TRUE	6.26613712310791	5.87802541255951	NA	5.94074320793152	NA	1.750696240318965	NA	0.7023884675291583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
