gene	measurement	outlier_threshold1	percent_accurate_mean1	outlier_threshold2	percent_accurate_mean2	outlier_threshold3	percent_accurate_mean3	outlier_threshold4	percent_accurate_mean4
AAMP	7.73761916729	7.57869845628738	99.91368705684026	7.71131885051727	90.65327616744308	NA	NA	7.92496514320374	NA
ABCF1	7.3889644159	6.76590180397034	100	6.63542461395264	100	NA	NA	6.71941351890564	100
ABCF2	6.42122329923	6.1809201836586	99.7199970382438	6.42877733707428	NA	NA	NA	6.35233783721924	95.09693485274717
AC132217.4	10.4058647572	22.1237854361534	NA	7.06800585985184	100	NA	NA	9.2644122838974	100
ACIN1	8.55378286605	9.06489157676697	NA	7.89506947994232	100	NA	NA	7.97195982933044	99.98043052837573
ACOT13	6.18626283567	5.61808627843857	NA	5.51891356706619	NA	NA	NA	5.72479069232941	NA
ACP1	8.55378286605	7.78185939788818	NA	7.04498171806335	NA	NA	NA	7.38118648529053	NA
ADAT1	6.06458110919	5.8432708978653	NA	5.75340032577515	NA	NA	NA	5.88030672073364	NA
ADGRA2	5.9724629072	9.04943957924843	NA	4.21948349475861	NA	NA	NA	5.76781904697418	NA
AFG3L2	5.98276546258	6.26613712310791	NA	5.87802541255951	NA	NA	NA	5.94074320793152	NA
AGBL5	6.23610988989	6.03877910971642	NA	5.32619214057922	NA	NA	NA	5.73353791236877	NA
ALDH1A2	8.43475331138	5.7542672380805	NA	3.19205105304718	NA	NA	NA	4.23186355829239	NA
ALG13	6.037382222	6.22720158100128	NA	5.85883224010468	NA	NA	NA	5.85191655158997	NA
ANP32E	7.16510798514	7.22013020515442	NA	6.35570335388184	NA	NA	NA	6.77744245529175	NA
AP1G2	6.92599941856	7.42584878206253	NA	6.37555944919586	NA	NA	NA	6.76448714733124	NA
APEX1	9.17572418538	8.82619100809097	NA	8.67678701877594	NA	NA	NA	8.92108726501465	NA
ARF1	9.14065086038	9.47817540168762	NA	8.97709095478058	NA	NA	NA	9.14064478874207	NA
ARHGAP4	7.15694262091	8.298603951931	NA	6.37262630462646	NA	NA	NA	6.40349900722504	NA
ARL16	6.67341508722	6.68806660175323	NA	6.51483356952667	NA	NA	NA	6.54834246635437	NA
ASH2L	5.91097245166	6.91095560789108	NA	5.77883732318878	NA	NA	NA	5.89239287376404	NA
ATAD3A	6.45975946662	6.48887920379639	NA	5.98176997900009	NA	NA	NA	6.05776810646057	NA
ATAD3B	5.76606505147	6.6605170071125	NA	5.4379797577858	NA	NA	NA	5.50942468643188	NA
ATG4B	7.04581425619	7.57583349943161	NA	6.92261695861816	NA	NA	NA	6.96484017372131	NA
ATPAF2	5.96092866731	5.77264702320099	NA	5.41078317165375	NA	NA	NA	5.40398097038269	NA
BAZ1A	6.05745027218	5.89533621072769	NA	5.00908023118973	NA	NA	NA	5.44077789783478	NA
BCLAF1	7.94673086014	7.88585311174393	NA	7.45433759689331	NA	NA	NA	7.69824695587158	NA
BLMH	6.53543091487	6.55533003807068	NA	6.08741736412048	NA	NA	NA	6.3322594165802	NA
BOD1	7.61456262282	7.41556692123413	NA	7.03047931194305	NA	NA	NA	7.40851640701294	NA
BPHL	6.57258654939	5.84093201160431	NA	5.73121154308319	NA	NA	NA	5.81497311592102	NA
BRD9	6.42760617278	6.10698717832565	NA	5.91020095348358	NA	NA	NA	5.93574452400208	NA
BRE	6.03121873061	6.87412875890732	NA	5.8605545759201	NA	NA	NA	5.85909557342529	NA
BRMS1	6.73240488678	6.75262248516083	NA	6.2025603055954	NA	NA	NA	6.30054879188538	NA
C14orf119	6.64212391615	7.3858739733696	NA	6.49937212467194	NA	NA	NA	6.55412173271179	NA
C14orf166	8.80099693892	8.7029305100441	NA	8.16378271579742	NA	NA	NA	8.55773138999939	NA
C1orf35	6.26247074299	5.85336893796921	NA	5.5240426659584	NA	NA	NA	5.6198251247406	NA
CABYR	5.91241035381	5.6827834546566	NA	4.39454400539398	NA	NA	NA	5.13178324699402	NA
CAD	7.07221301224	6.88797330856323	NA	6.0718697309494	NA	NA	NA	6.39710068702698	NA
CBWD1	6.90845266927	6.55663514137268	NA	5.69846379756927	NA	NA	NA	5.74383306503296	NA
CBWD2	6.27705487615	6.53517079353333	NA	5.53570020198822	NA	NA	NA	5.55992197990417	NA
CBWD3	6.20261362015	6.63478606939316	NA	5.69971019029617	NA	NA	NA	5.75150418281555	NA
CBWD5	6.73674015545	6.85400587320328	NA	6.30580997467041	NA	NA	NA	6.30118012428284	NA
